Date,Temperature (Max),Temperature (Avg),Temperature (Min),Dew Point(Max),Dew Point(Avg),Dew Point(Min),Humidity(Max),Humidity(Avg),Humidity(Min),Wind Speed(Max),Wind Speed(Avg),Wind Speed(Min),Pressure(Max),Pressure(Avg),Pressure(Min),Precipitation(Total)
26-02-2024,33.3,25.2,15.6,16.7,14.2,11.1,24.4,12.1,0,2,0.6,0,28.1,28,27.9,0
27-02-2024,33.3,26.4,18.9,16.7,15.2,13.9,26.7,11.9,-1.1,2,0.8,0,28.1,28.1,28,0
28-02-2024,33.9,26,18.3,17.2,15.3,14.4,27.2,12.9,0.6,5,1.1,0,28.1,28,28,0
29-02-2024,35,27.2,19.4,17.2,13.1,9.4,25.6,8.4,-5.6,5,1.6,0,28.1,28.1,28,0
01-03-2024,35,27,22.2,20.6,15.8,12.2,30,12.3,-3.9,2,0.9,0,28.1,28.1,28,0.254
02-03-2024,32.8,25.4,18.9,17.8,15.2,10.6,27.8,13.8,-3.9,5,3,0,28.1,28.1,28,2.032
03-03-2024,30.6,24.4,18.3,16.7,15.1,12.8,32.2,14.7,1.1,9,3.1,0,28.1,28,28,0
04-03-2024,33.3,22.7,14.4,15.6,9.8,4.4,35.6,10.9,-6.1,6,2.1,0,28.1,28.1,28,0
05-03-2024,33.3,24.1,14.4,12.8,9.4,5,28.3,7.7,-6.7,3,1,0,28.1,28.1,28,0
06-03-2024,34.4,23.9,14.4,12.8,7.7,4.4,26.7,5.3,-8.3,5,1.4,0,28.1,28.1,28,0
07-03-2024,34.4,24.7,11.7,12.2,7.7,2.2,23.9,4.9,-8.9,2,0.5,0,28.1,28.1,28,0
08-03-2024,34.4,25.8,16.1,13.3,10.3,8.3,24.4,5.6,-6.1,2,0.6,0,28.1,28.1,28,0
09-03-2024,34.4,25.3,15.6,12.2,9.3,6.7,22.2,5.3,-7.8,6,1.3,0,28.1,28.1,28,0
10-03-2024,35.6,26.2,16.1,11.7,8.9,3.3,19.4,3.9,-10,2,0.9,0,28.1,28.1,28,0
11-03-2024,35.6,26.8,16.7,13.3,10.8,6.7,19.4,5.4,-8.9,2,0.6,0,28.2,28.1,28,0
12-03-2024,35.6,27.2,17.8,15,12.2,8.9,22.2,6.7,-7.2,5,1,0,28.1,28.1,28,0
13-03-2024,34.4,26.1,16.7,15.6,10.8,1.1,23.9,7.7,-11.1,5,1.9,0,28.1,28.1,28,0
14-03-2024,35,26,16.7,15.6,11.4,6.1,32.8,8.8,-8.3,2,0.8,0,28.1,28.1,28,0
15-03-2024,35,25,15.6,11.7,8.1,3.3,20,4.6,-9.4,6,1.3,0,28.1,28,28,0
16-03-2024,33.9,26.2,16.7,12.2,9.8,3.3,19.4,4.4,-8.9,3,0.8,0,28.1,28,28,0
17-03-2024,35.6,26,17.8,12.2,8.8,6.7,19.4,3.4,-8.3,3,0.9,0,28.1,28.1,28,0
18-03-2024,34.4,26.3,16.7,13.3,8.6,6.1,18.3,2.6,-7.8,3,1.3,0,28.1,28,28,0
19-03-2024,35,26.4,17.8,13.3,9.4,4.4,23.9,4.3,-9.4,2,0.8,0,28.1,28,27.9,0
20-03-2024,35,25.3,15.6,11.1,6.9,3.3,22.2,2.8,-10,2,0.5,0,28.1,28,28,0
21-03-2024,35.6,27,15,14.4,11.3,8.3,18.9,4.9,-6.1,5,0.9,0,28.1,28,27.9,0
22-03-2024,36.7,28.1,20,17.2,13.5,9.4,22.2,7.7,-7.2,3,1,0,28,28,27.9,0
23-03-2024,36.7,27.4,18.3,16.7,11.1,8.3,23.3,5,-7.8,2,0.4,0,28,28,27.9,0
24-03-2024,36.1,28.3,18.9,14.4,11.6,8.3,15.6,4.1,-7.2,2,0.9,0,28.1,28,28,0
25-03-2024,37.8,29.3,20,18.9,14.3,10.6,21.1,7.2,-6.7,2,0.6,0,28.1,28,27.9,0
26-03-2024,37.8,29.3,20,16.7,13.8,10,18.3,5.5,-7.8,3,0.9,0,28.1,28,28,0
27-03-2024,38.9,29.8,21.1,17.2,14.4,10.6,18.9,6.1,-7.8,3,1.3,0,28.1,28.1,28,0
28-03-2024,38.3,30,21.7,20,15.6,6.7,23.9,8.4,-10,5,1.4,0,28.1,28,27.9,0
29-03-2024,37.8,30.8,25,19.4,16.8,11.1,20,8.1,-6.1,2,0.9,0,28.1,28,27.9,0
30-03-2024,37.8,30.9,24.4,19.4,17,14.4,21.7,7.7,-3.9,3,1,0,28.1,28,28,0
31-03-2024,38.3,31.3,23.9,17.2,14.7,12.8,17.8,3.9,-4.4,3,1,0,28.1,28.1,28,0
01-04-2024,38.9,30.4,21.1,16.1,11.8,6.1,15.6,2.1,-8.9,3,0.8,0,28.1,28,27.9,0
02-04-2024,38.3,29.4,20.6,12.8,10.2,7.2,12.8,0.9,-9.4,3,0.9,0,28,28,27.9,0
03-04-2024,38.3,29.4,20.6,18.9,13.3,9.4,14.4,5.1,-8.3,3,1.1,0,28,28,27.9,0
04-04-2024,38.9,29.7,21.7,18.3,13.2,8.9,20,5.1,-8.9,3,0.9,0,28,28,27.9,0
05-04-2024,38.9,31,20.6,18.9,13.7,8.9,23.3,4.6,-8.3,7,1.4,0,28,28,27.9,0
06-04-2024,38.3,30.5,20.6,15.6,11.2,8.3,18.9,1.3,-8.9,3,0.9,0,28,27.9,27.9,0
07-04-2024,38.3,29.4,21.7,12.8,9.2,5,13.3,-0.8,-8.3,3,1.3,0,28,27.9,27.9,0
08-04-2024,38.3,28.8,18.9,10,7.7,3.3,9.4,-1.2,-10,2,0.6,0,28,28,27.9,0
09-04-2024,38.3,30.9,21.7,13.3,10.1,5.6,12.8,-0.6,-10,5,2.3,0,28,28,27.9,0
10-04-2024,38.3,29.6,20,15,11.7,7.2,18.3,2.8,-8.3,5,1.3,0,28,28,27.9,0
11-04-2024,37.8,29.7,20.6,16.7,12.5,7.2,16.1,4.1,-9.4,3,1,0,28,28,27.9,0
12-04-2024,36.7,29.3,21.7,18.9,15.1,12.8,25,7,-3.3,3,1.3,0,28,28,27.9,0
13-04-2024,38.3,28.8,18.9,17.2,12.4,3.9,21.7,6,-11.1,5,2.4,0,28,28,27.9,0
14-04-2024,38.9,29.8,20,17.2,13.6,7.2,26.7,6.3,-10,3,1.4,0,28.1,28,27.9,0
15-04-2024,38.3,31.6,23.3,20,18,16.1,21.7,8.3,-2.8,2,0.9,0,28.1,28,27.9,0
16-04-2024,38.1,32.3,25.1,19.6,19.2,17.2,22.3,15.3,-1.4,5,0.4,1,28.3,28.1,27.2,0
17-04-2024,30.6,26.9,23.5,21.8,20.4,19.5,21.6,19.7,-3.2,2,4,0,28.1,27.4,28.1,0.508
18-04-2024,27.2,27.2,27.2,21.1,21.1,21.1,20.6,19.6,-5.1,4,0.1,0,27.9,27.9,27.9,0
19-04-2024,38.9,31.1,25.6,22.2,19.1,12.8,23.9,11.3,-6.1,3,1.3,0,28,27.9,27.8,0
20-04-2024,38.9,28,22.8,21.1,18.4,15.6,32.8,16.8,-3.3,9,1.5,0,28,27.9,27.9,0
21-04-2024,37.8,29.7,21.7,21.1,17.2,13.9,32.8,10.9,-4.4,2,0.8,0,28,27.9,27.9,2.032
22-04-2024,37.8,30.5,22.2,22.2,16.9,13.3,22.8,8.1,-4.4,3,0.9,0,28,27.9,27.9,0
23-04-2024,38.3,31,22.2,18.3,15.5,10.6,20.6,6.2,-7.2,5,1.1,0,28,27.9,27.8,0
24-04-2024,37.2,30.9,23.3,18.3,15.8,13.9,17.2,5.6,-2.8,3,1.1,0,27.9,27.9,27.8,0
25-04-2024,38.3,31.8,23.9,16.1,15.2,13.3,14.4,3.4,-5,7,1.5,0,28,27.9,27.8,0
26-04-2024,39.4,32.2,25,20,16.6,14.4,14.4,5.1,-4.4,5,1.3,0,27.9,27.9,27.9,0
27-04-2024,39.4,32.6,25,18.9,17.1,15.6,17.2,5.5,-4.4,3,0.6,0,28,27.9,27.9,0
28-04-2024,40,32.9,24.4,17.2,14.9,12.2,17.2,2.7,-6.7,7,1.5,0,28,27.9,27.8,0
29-04-2024,41.7,33.1,23.9,16.1,13.3,11.7,16.7,0.6,-8.3,2,0.5,0,28,27.9,27.9,0
30-04-2024,40.6,33.7,23.3,15,12.2,10,12.8,-1.3,-8.9,5,1.7,0,28,27.9,27.8,0
01-05-2024,37.8,31.1,23.9,12.2,9.5,7.2,5.6,-2.4,-8.3,6,2.9,0,27.9,27.9,27.8,0
02-05-2024,39.4,29.7,20.6,14.4,8.9,3.3,11.7,-0.3,-11.7,7,2.1,0,27.9,27.9,27.8,0
03-05-2024,38.3,30.5,19.4,18.9,9.4,0.6,17.2,1.4,-12.8,3,1.6,0,28,27.9,27.9,0
04-05-2024,39.4,31.4,22.8,19.4,14.4,8.9,21.7,4.9,-8.9,5,1.6,0,28,27.9,27.9,0
05-05-2024,40,31.6,22.8,20,16.1,12.8,19.4,5.3,-7.2,5,1.9,0,27.9,27.9,27.8,0
06-05-2024,37.8,30.8,25,17.2,16.1,14.4,14.4,5.8,-2.2,7,2.8,0,28,27.9,27.9,0
07-05-2024,39.4,29.9,23.3,20,16.3,10.6,25,8.9,-7.2,10,4.6,0,28,27.9,27.9,0
08-05-2024,38.3,30.4,23.3,21.7,17.8,11.7,26.7,11.3,-6.7,5,2.1,0,28,27.9,27.8,0
09-05-2024,38.3,29.7,23.9,20.6,19.5,16.1,26.1,13.9,-2.8,6,1.9,0,28,27.9,27.9,0
10-05-2024,37.8,27.2,21.7,23.9,20.8,18.3,36.7,22.7,1.1,5,1,0,28,27.9,27.9,0.508
11-05-2024,37.2,27.1,20.6,22.2,21,18.9,36.7,23.1,1.1,3,0.5,0,28,28,27.9,27.94
12-05-2024,30.6,26.7,23.3,22.8,21.7,19.4,32.8,23.9,10,1,0.1,0,28.1,28,27.9,40.894
13-05-2024,35.6,27.9,23.9,22.8,20.6,19.4,33.3,19.6,3.3,9,2.1,0,28,28,27.9,0
14-05-2024,36.7,28.6,23.3,20,18.9,17.8,26.7,14.7,0,2,0.4,0,28,28,27.9,3.048
15-05-2024,36.7,29.9,22.2,22.2,19.7,16.1,35.6,15.1,-1.1,2,0.6,0,28,28,27.9,0
16-05-2024,35.6,27.3,22.8,22.8,20.9,18.9,36.7,22.4,2.2,2,0.4,0,28,28,27.9,12.954
17-05-2024,35.6,29.2,23.3,22.8,20.8,18.9,32.2,17.4,3.3,5,1.1,0,28,27.9,27.8,3.048
18-05-2024,37.2,29.9,25,22.8,20.8,17.2,30.6,15.6,0.6,3,0.9,0,27.9,27.9,27.8,0
19-05-2024,37.8,29.4,25,23.3,22,20.6,29.4,19.2,2.2,5,1.6,0,27.9,27.8,27.8,0
20-05-2024,37.2,30.8,25.6,23.9,22.5,19.4,27.8,17.6,1.7,3,1.6,1,27.9,27.8,27.8,6.096
21-05-2024,39.4,32.6,27.2,25,21.3,15,26.7,13.3,-5,5,2.1,0,27.9,27.8,27.7,0.254
22-05-2024,38.3,31.3,27.2,27.8,22.4,19.4,36.7,17.4,0.6,7,1.6,0,27.9,27.8,27.7,0
23-05-2024,36.7,31.4,26.1,25,22.6,19.4,32.2,16.7,2.2,6,2.5,0,27.8,27.8,27.7,0
24-05-2024,37.2,31.1,26.7,22.2,19.4,17.8,23.3,11.3,-0.6,5,3.3,1,27.8,27.8,27.7,0
25-05-2024,35.6,29.1,25.6,21.7,20.3,17.2,24.4,16.4,1.1,9,6.6,5,27.9,27.8,27.8,0
26-05-2024,35.6,29.8,26.1,22.2,21.3,20,25,16.6,7.2,7,5.3,2,27.9,27.8,27.8,0
27-05-2024,28.9,21.6,-17.8,22.8,21.7,21.1,25,17,-17.8,110,18.6,2,27.9,27.8,27.8,0
28-05-2024,35,29.3,25,21.1,19.9,17.2,23.9,14.7,2.8,9,6.1,2,27.9,27.8,27.8,0
29-05-2024,35,28.9,25,22.8,20.1,17.8,30,15.8,2.2,9,4.9,1,27.9,27.8,27.8,0
30-05-2024,35.6,29.9,25,22.2,20.3,18.3,25.6,14.6,2.2,10,6,3,27.9,27.9,27.8,0
31-05-2024,36.1,30.8,25,22.2,20.6,18.9,27.8,13.8,2.2,6,4.3,1,27.9,27.9,27.8,0
01-06-2024,36.1,24.9,-17.8,22.2,20.6,17.8,27.2,9.1,-17.8,6,3.4,2,27.9,27.9,27.8,0
02-06-2024,35.6,30.3,25.6,21.7,19.9,18.9,26.1,13.2,2.2,5,4.1,2,27.9,27.9,27.8,0
03-06-2024,34.4,29.2,25.6,23.3,21.6,20.6,24.4,18.1,6.7,6,2.8,0,28,27.9,27.9,0
04-06-2024,35,27.2,22.8,23.3,22.1,20.6,35.6,24.9,6.1,5,2,0,28,27.9,27.9,0
05-06-2024,34.4,27.2,23.9,24.4,23.6,22.8,36.7,28.3,10,3,1,0,28,27.9,27.9,68.072
06-06-2024,33.9,27.9,25,25.6,23.4,22.2,33.3,25.9,10,5,2.6,0,28,27.9,27.9,8.89
07-06-2024,32.2,27.2,23.3,23.9,22.9,21.7,36.7,25.8,16.7,3,0.5,0,27.9,27.9,27.8,13.97
08-06-2024,33.9,26.1,22.2,23.3,22.4,21.7,36.7,28.1,11.1,16,3.6,0,27.9,27.9,27.8,0
09-06-2024,28.3,24.7,21.7,23.3,22.2,21.1,35.6,30.4,21.7,5,1.4,0,27.9,27.9,27.8,117.094
10-06-2024,30,25.2,22.2,22.8,22.5,21.7,36.7,29.7,17.8,5,2.4,0,27.9,27.9,27.9,12.954
11-06-2024,30,26.8,25,23.9,22.7,22.2,30.6,25.4,17.8,7,3.4,2,27.9,27.9,27.9,7.874
12-06-2024,31.7,27.4,25,23.3,22.7,22.2,29.4,24.4,14.4,2,1.5,0,28,27.9,27.9,0
13-06-2024,31.1,27.4,24.4,22.8,22.5,22.2,31.7,24.4,16.1,5,1.9,1,27.9,27.9,27.9,1.016
14-06-2024,30,26.6,23.9,23.3,22.2,21.1,31.7,24.9,17.2,5,2.1,0,27.9,27.9,27.9,0
15-06-2024,31.1,27,23.9,22.2,21.9,21.7,29.4,23.3,13.9,6,3,1,27.9,27.9,27.8,0
16-06-2024,32.8,27.3,23.3,23.9,22.5,21.1,36.7,25.1,11.7,2,1.1,0,27.9,27.9,27.8,0.508
17-06-2024,32.8,27.4,23.3,23.3,22,21.1,35,23.5,10.6,5,1.5,0,27.9,27.9,27.9,5.08
18-06-2024,30.6,27.1,24.4,22.2,21.3,20.6,31.7,22.3,12.8,7,2.8,0,27.9,27.9,27.8,0.762
19-06-2024,30,26.3,23.3,22.8,21.6,20.6,32.2,23.9,15.6,6,3,0,27.9,27.8,27.8,0
20-06-2024,31.1,26.3,23.3,23.9,22.5,21.1,36.7,27.3,15,6,2.8,0,27.8,27.8,27.8,0
21-06-2024,29.4,26.4,23.9,22.8,22.4,21.7,33.3,26.2,16.7,9,3.3,0,27.9,27.8,27.8,6.096
22-06-2024,32.2,27.7,23.9,23.3,22.4,21.7,35,23.1,12.8,6,3.8,1,27.8,27.8,27.7,0.762
23-06-2024,30.6,26.8,24.4,23.3,22.7,21.7,31.7,26.2,15.6,3,1.5,0,27.8,27.7,27.7,0
24-06-2024,32.2,27.8,24.4,22.8,22,21.7,31.7,22.4,12.2,3,1.4,0,27.7,27.7,27.6,0.508
25-06-2024,32.2,27.2,25,23.3,23,22.8,33.3,25.8,13.9,5,1.4,0,27.7,27.7,27.6,0.254
26-06-2024,29.4,26.6,24.4,23.9,23.2,22.8,35,28.1,20,3,1.3,0,27.8,27.7,27.6,0.508
27-06-2024,28.3,25.5,23.3,22.8,22.2,20.6,35,27.4,20,7,2.9,0,27.8,27.8,27.7,0.508
28-06-2024,27.8,25.3,23.3,23.3,22.5,21.7,35.6,29.2,20.6,7,2.8,1,27.8,27.8,27.8,1.016
29-06-2024,28.3,25.9,23.3,23.9,22.9,22.2,35.6,28.8,23.3,3,1.4,0,27.9,27.8,27.8,5.08
30-06-2024,28.3,26.1,24.4,24.4,23,21.7,33.3,28.7,22.8,3,1.6,0,27.9,27.8,27.8,0
01-07-2024,29.4,26.2,24.4,23.3,22.4,21.7,32.2,26.4,17.2,9,3.4,1,27.9,27.8,27.8,2.032
02-07-2024,27.2,25.6,24.4,24.4,23.1,22.2,34.4,30.3,27.2,2,1.3,0,27.8,27.8,27.7,4.064
03-07-2024,30,26.9,24.4,22.8,22.4,22.2,30.6,24.9,18.3,7,3.5,2,27.9,27.8,27.8,12.954
04-07-2024,30,20.7,-17.8,23.3,23.1,22.8,35,22.8,-17.8,64,9.6,0,27.9,27.8,27.8,0.254
05-07-2024,27.8,26.2,24.4,23.3,22.8,22.2,33.3,27.8,23.3,6,2.8,0,27.8,27.8,27.7,0.762
06-07-2024,28.9,26.1,24.4,23.3,22.6,22.2,34.4,27.2,18.9,7,3.9,0,27.8,27.8,27.7,1.016
07-07-2024,28.9,26.1,23.9,23.3,22.4,21.1,31.7,26.4,21.1,3,2,1,27.9,27.8,27.8,2.032
08-07-2024,28.9,24.6,22.2,23.3,22.4,21.1,36.7,31.1,21.7,2,1.1,0,27.9,27.8,27.8,0
09-07-2024,28.3,24.7,22.2,23.3,21.7,20.6,36.7,29.1,20.6,6,1.9,0,27.9,27.8,27.8,16.002
10-07-2024,31.1,26,23.3,22.8,21.7,20.6,33.3,25.3,13.3,5,2.6,0,27.9,27.9,27.9,0
11-07-2024,29.4,25.4,22.8,22.8,21.6,19.4,33.9,26.7,14.4,3,1.9,1,27.9,27.9,27.8,0
12-07-2024,27.8,24.1,21.7,23.3,22.7,21.1,36.7,33.3,24.4,5,2.5,1,27.9,27.8,27.8,2.032
13-07-2024,26.1,24.1,23.3,22.8,22.5,21.7,35.6,32.4,27.2,6,3.1,0,27.8,27.8,27.8,1.016
14-07-2024,26.7,24.1,22.2,23.3,22.4,20.6,35.6,32.8,28.9,3,1,0,27.8,27.8,27.7,37.084
15-07-2024,29.4,25.8,23.3,23.3,22.8,22.2,35,28.4,20,3,1.3,0,27.8,27.7,27.7,17.018
16-07-2024,28.3,25.4,23.3,22.8,21.9,20.6,32.2,27,21.1,6,2.1,0,27.8,27.7,27.7,0.508
17-07-2024,27.8,24.9,23.3,24.4,22.8,21.7,35.6,31.1,23.3,2,0.9,0,27.8,27.8,27.7,0
18-07-2024,26.1,24.5,23.3,22.8,21.8,21.1,32.8,29.4,24.4,6,2.6,0,27.8,27.8,27.7,6.096
19-07-2024,26.7,25,23.3,23.9,22.6,21.7,33.9,30.2,25.6,6,2.8,0,27.8,27.7,27.7,2.032
20-07-2024,25.6,24.4,23.3,23.9,22.4,21.7,33.9,31.4,27.8,6,2.6,2,27.8,27.8,27.7,3.048
21-07-2024,27.2,25.1,23.3,23.3,22.8,22.2,33.9,30.7,26.1,3,2,0,27.8,27.8,27.7,3.048
22-07-2024,25,24.1,23.3,22.8,22.4,21.7,34.4,32.7,30.6,5,2,0,27.9,27.8,27.8,5.08
23-07-2024,26.7,24.2,23.3,22.8,22.7,22.2,35.6,32.8,27.2,3,1.5,1,27.9,27.8,27.8,10.922
24-07-2024,25,23.6,22.8,22.8,22.7,22.2,36.7,34.3,30.6,5,2,0,27.8,27.8,27.7,39.878
25-07-2024,23.3,22.5,21.7,22.8,21.9,21.1,36.7,35.6,32.8,2,0.9,0,27.8,27.8,27.7,114.046
26-07-2024,27.2,25,22.8,23.3,22.5,21.1,32.8,30.3,25,5,2.8,1,27.8,27.8,27.7,55.88
27-07-2024,25.6,24.8,23.9,23.9,22.9,22.2,34.4,32,28.9,11,4.2,1,27.8,27.8,27.7,2.032
28-07-2024,25.6,24.3,23.3,23.9,22.9,22.2,35.6,33.3,30.6,5,3,1,27.8,27.7,27.7,3.048
29-07-2024,26.7,24.5,23.3,23.3,22.8,22.2,35.6,32.2,27.2,2,1.1,0,27.8,27.7,27.7,8.89
30-07-2024,25.6,24.4,23.3,23.9,23.1,22.2,35.6,33.3,31.7,3,0.6,0,27.9,27.8,27.8,7.112
31-07-2024,26.7,24.8,23.3,23.3,17.2,-17.8,35.6,25.2,-17.8,3,1.4,0,30.2,28.2,27.8,28.956
01-08-2024,27.2,24.7,23.3,24.4,22.8,21.7,36.7,32,24.4,3,1.5,0,27.9,27.9,27.8,2.032
02-08-2024,24.4,23.8,23.3,23.3,22.4,21.7,35,33.3,31.7,3,1.6,1,27.9,27.8,27.8,10.922
03-08-2024,25,23.9,22.8,22.8,22.4,21.7,35.6,32.5,28.9,6,3,1,27.9,27.9,27.8,16.002
04-08-2024,24.4,23.8,23.3,22.8,22.2,21.7,36.7,32.8,30.6,5,2.4,1,27.9,27.9,27.8,16.002
